timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1663415376426,751,Sign in - POST,200,OK,Load tests 3-5,text,true,,839,289,5,5,https://qauto2.forstudy.space/api/auth/signin,751,0,108
1663415378166,145,Add car - GET,200,OK,Load tests 3-1,text,true,,895,306,4,4,https://qauto2.forstudy.space/api/cars/models?carBrandId=1,89,0,0
1663415378166,89,Add car - GET-0,301,Moved Permanently,Load tests 3-1,text,true,,388,153,4,4,http://qauto2.forstudy.space/api/cars/models?carBrandId=1,89,0,0
1663415378255,56,Add car - GET-1,200,OK,Load tests 3-1,text,true,,507,153,4,4,https://qauto2.forstudy.space/api/cars/models?carBrandId=1,56,0,0
1663415379205,208,Cars brands - GET,200,OK,Load tests 3-2,text,true,,952,280,4,4,https://qauto2.forstudy.space/api/cars/brands,157,0,100
1663415379205,157,Cars brands - GET-0,301,Moved Permanently,Load tests 3-2,text,true,,375,140,4,4,http://qauto2.forstudy.space/api/cars/brands,157,0,100
1663415379362,51,Cars brands - GET-1,200,OK,Load tests 3-2,text,true,,577,140,4,4,https://qauto2.forstudy.space/api/cars/brands,51,0,0
1663415379870,189,Instructions - GET,200,OK,Load tests 3-3,text,true,,1645,348,4,4,https://qauto2.forstudy.space/api/instructions?carBrandId=1&carModelId=1&page=1,135,0,0
1663415379870,135,Instructions - GET-0,301,Moved Permanently,Load tests 3-3,text,true,,409,174,4,4,http://qauto2.forstudy.space/api/instructions?carBrandId=1&carModelId=1&page=1,135,0,0
1663415380005,54,Instructions - GET-1,200,OK,Load tests 3-3,text,true,,1236,174,4,4,https://qauto2.forstudy.space/api/instructions?carBrandId=1&carModelId=1&page=1,54,0,0
1663415380061,698,Sign in - POST,200,OK,Load tests 3-3,text,true,,845,289,4,4,https://qauto2.forstudy.space/api/auth/signin,698,0,108
1663415381026,194,Add car - GET,200,OK,Load tests 3-4,text,true,,895,306,3,3,https://qauto2.forstudy.space/api/cars/models?carBrandId=1,130,0,0
1663415381026,131,Add car - GET-0,301,Moved Permanently,Load tests 3-4,text,true,,388,153,3,3,http://qauto2.forstudy.space/api/cars/models?carBrandId=1,130,0,0
